
 [['날짜', '시가', '고가', '저가', '종가', '거래량', '외국인소진율'],

	
	
		
["20240102", 18900, 18910, 18700, 18840, 773155, 14.07],
		
["20240103", 18800, 19450, 18740, 19250, 2051242, 14.13],
		
["20240104", 19150, 19150, 18810, 18810, 980394, 14.1],
		
["20240105", 18800, 18930, 18640, 18840, 583559, 14.09],
		
["20240108", 18850, 18910, 18550, 18550, 591289, 14.09],
		
["20240109", 18750, 19240, 18720, 19140, 1753456, 14.12],
		
["20240110", 19070, 19090, 18820, 18890, 671010, 14.1],
		
["20240111", 19030, 19060, 18640, 18640, 880855, 14.11],
		
["20240112", 18670, 18790, 18540, 18670, 563259, 14.09],
		
["20240115", 18730, 18900, 18660, 18690, 561589, 14.12],
		
["20240116", 18750, 19490, 18750, 19240, 2467333, 14.2],
		
["20240117", 19200, 19390, 18980, 18980, 1470742, 14.15],
		
["20240118", 19000, 19090, 18710, 18720, 968473, 14.11],
		
["20240119", 18750, 18760, 17970, 18030, 3019410, 13.93],
		
["20240122", 18110, 18540, 18070, 18430, 1219991, 13.97],
		
["20240123", 18560, 18570, 18140, 18270, 973471, 13.93],
		
["20240124", 18270, 18450, 18260, 18390, 874907, 13.99],
		
["20240125", 18390, 19160, 18280, 19160, 1987949, 14.08],
		
["20240126", 18960, 19280, 18910, 19200, 1053749, 14.13],
		
["20240129", 19230, 19970, 19140, 19920, 3183607, 14.25],
		
["20240130", 19870, 19880, 19400, 19600, 1661595, 14.24],
		
["20240131", 19510, 19780, 19380, 19770, 1202685, 14.23],
		
["20240201", 19720, 20550, 19660, 20400, 3649060, 14.27],
		
["20240202", 20300, 20550, 20050, 20350, 1451371, 14.29],
		
["20240205", 20400, 20400, 19910, 20200, 1313690, 14.3],
		
["20240206", 20100, 20500, 20000, 20400, 1073152, 14.31],
		
["20240207", 20550, 20900, 20400, 20850, 1753630, 14.32],
		
["20240208", 20850, 20950, 20400, 20400, 1591986, 14.35],
		
["20240213", 20550, 21350, 20550, 21300, 2520800, 14.43],
		
["20240214", 21000, 21700, 20900, 21100, 2195133, 14.47],
		
["20240215", 21250, 21300, 20700, 20700, 1161158, 14.48],
		
["20240216", 20750, 21350, 20700, 21100, 1271429, 14.49],
		
["20240219", 21700, 23350, 21550, 23200, 10791549, 14.75],
		
["20240220", 23300, 23950, 22550, 23400, 5797991, 14.74],
		
["20240221", 23150, 23400, 22750, 22900, 2309678, 14.74],
		
["20240222", 22850, 23350, 22650, 23050, 2411195, 14.71],
		
["20240223", 23150, 23850, 22950, 23550, 4262887, 14.63],
		
["20240226", 24100, 24950, 22800, 24850, 11931119, 14.74],
		
["20240227", 24550, 24800, 24100, 24200, 3338323, 14.67],
		
["20240228", 24050, 24900, 23600, 24500, 4041469, 14.58],
		
["20240229", 24550, 25100, 24450, 24800, 3281702, 14.53],
		
["20240304", 24800, 24850, 24300, 24750, 2841632, 14.59],
		
["20240305", 24600, 24650, 24100, 24450, 2130723, 14.62],
		
["20240306", 24250, 25000, 24250, 24650, 2543960, 14.58],
		
["20240307", 24800, 24800, 24050, 24200, 1827533, 14.62],
		
["20240308", 24300, 24350, 23200, 24000, 3269503, 14.72],
		
