
 [['날짜', '시가', '고가', '저가', '종가', '거래량', '외국인소진율'],

	
		
["20240102", 2645.47, 2675.8, 2641.88, 2669.81, 409872, 0.0],
		
["20240103", 2643.54, 2643.72, 2607.31, 2607.31, 463132, 0.0],
		
["20240104", 2592.44, 2602.64, 2580.09, 2587.02, 770176, 0.0],
		
["20240105", 2586.89, 2592.29, 2572.6, 2578.08, 522290, 0.0],
		
["20240108", 2584.23, 2591.68, 2566.34, 2567.82, 320144, 0.0],
		
["20240109", 2598.31, 2599.37, 2556.0, 2561.24, 791214, 0.0],
		
["20240110", 2563.97, 2568.19, 2539.82, 2541.98, 570021, 0.0],
		
["20240111", 2543.03, 2557.3, 2540.27, 2540.27, 788423, 0.0],
		
["20240112", 2536.55, 2543.83, 2517.76, 2525.05, 790177, 0.0],
		
["20240115", 2525.69, 2536.06, 2515.84, 2525.99, 802102, 0.0],
		
["20240116", 2516.27, 2524.35, 2491.13, 2497.59, 659579, 0.0],
		
["20240117", 2501.23, 2503.91, 2435.34, 2435.9, 965595, 0.0],
		
["20240118", 2439.96, 2453.97, 2429.12, 2440.04, 571507, 0.0],
		
["20240119", 2468.43, 2479.0, 2455.5, 2472.74, 518807, 0.0],
		
["20240122", 2489.57, 2490.69, 2464.35, 2464.35, 388046, 0.0],
		
["20240123", 2478.32, 2482.84, 2464.24, 2478.61, 472284, 0.0],
		
["20240124", 2476.22, 2476.22, 2454.34, 2469.69, 395464, 0.0],
		
["20240125", 2467.73, 2474.01, 2452.36, 2470.34, 357234, 0.0],
		
["20240126", 2458.05, 2502.61, 2453.45, 2478.56, 292662, 0.0],
		
["20240129", 2490.93, 2516.92, 2483.81, 2500.65, 427440, 0.0],
		
["20240130", 2523.68, 2528.54, 2498.81, 2498.81, 481809, 0.0],
		
["20240131", 2487.9, 2502.45, 2486.97, 2497.09, 454574, 0.0],
		
["20240201", 2491.93, 2542.46, 2491.93, 2542.46, 751075, 0.0],
		
["20240202", 2559.4, 2615.34, 2559.39, 2615.31, 596121, 0.0],
		
["20240205", 2612.77, 2612.77, 2562.5, 2591.31, 511678, 0.0],
		
["20240206", 2584.2, 2599.18, 2563.87, 2576.2, 411618, 0.0],
		
["20240207", 2592.59, 2625.24, 2588.09, 2609.58, 518182, 0.0],
		
["20240208", 2620.26, 2629.51, 2610.21, 2620.32, 430009, 0.0],
		
["20240213", 2644.17, 2656.87, 2640.96, 2649.64, 559385, 0.0],
		
["20240214", 2609.6, 2627.31, 2601.99, 2620.42, 543525, 0.0],
		
["20240215", 2643.81, 2643.86, 2613.8, 2613.8, 621363, 0.0],
		
["20240216", 2635.63, 2648.76, 2625.01, 2648.76, 593842, 0.0],
		
["20240219", 2653.12, 2683.39, 2653.12, 2680.26, 422699, 0.0],
		
["20240220", 2671.55, 2673.84, 2643.93, 2657.79, 612668, 0.0],
		
["20240221", 2656.92, 2670.95, 2644.04, 2653.31, 562144, 0.0],
		
["20240222", 2671.69, 2671.69, 2653.99, 2664.27, 456397, 0.0],
		
["20240223", 2681.03, 2694.8, 2665.21, 2667.7, 415376, 0.0],
		
["20240226", 2657.35, 2659.6, 2629.78, 2647.08, 531661, 0.0],
		
